date,confirmed,cured,dead
2020-6-1,0,0,0
2020-6-2,0,0,0
2020-6-3,0,0,0
2020-6-4,0,0,0
2020-6-5,0,0,0
2020-6-6,0,0,0
2020-6-7,0,0,0
2020-6-8,0,0,0
2020-6-9,0,0,0
2020-6-10,0,0,0
2020-6-11,1,0,0
2020-6-12,7,0,0
2020-6-13,45,0,0
2020-6-14,84,0,0
2020-6-15,116,0,0
2020-6-16,149,0,0
2020-6-17,172,0,0
2020-6-18,200,0,0
2020-6-19,223,0,0
2020-6-20,248,0,0
2020-6-21,258,0,0
2020-6-22,271,0,0
2020-6-23,280,0,0
2020-6-24,293,0,0
2020-6-25,304,0,0
2020-6-26,321,0,0
2020-6-27,335,0,0
2020-6-28,342,0,0
2020-6-29,349,0,0
2020-6-30,352,0,0
2020-7-1,353,0,0
2020-7-2,355,0,0
2020-7-3,356,0,0
2020-7-4,358,0,0
2020-7-5,359,0,0
2020-7-6,359,0,0
2020-7-7,359,0,0
2020-7-8,359,0,0
2020-7-9,359,0,0
2020-7-10,359,0,0
2020-7-11,359,0,0
2020-7-12,359,0,0
2020-7-13,359,0,0
2020-7-14,359,0,0
2020-7-15,359,0,0
2020-7-16,359,0,0
2020-7-17,359,0,0
2020-7-18,359,0,0
2020-7-19,359,0,0
2020-7-20,359,0,0
2020-7-21,359,0,0
2020-7-22,359,0,0
2020-7-23,359,0,0
2020-7-24,359,0,0
2020-7-25,359,0,0
2020-7-26,359,0,0
2020-7-27,359,0,0
2020-7-28,359,0,0
2020-7-29,359,0,0
2020-7-30,359,0,0
2020-7-31,359,0,0
